,loss_train,loss_test,experiment,depth,width,batch_size,lr,gamma,name,window
97,50.832763671875,48.88228988647461,1,20,100,128,0.001,10.0,g10.0,1
98,36.80535125732422,48.49287796020508,1,20,100,128,0.001,10.0,g10.0,1
99,43.498130798339844,48.061073303222656,1,20,100,128,0.001,10.0,g10.0,1
0,299.189453125,343.3363952636719,2,20,100,128,0.001,10.0,g10.0,1
1,264.998779296875,342.32012939453125,2,20,100,128,0.001,10.0,g10.0,1
2,317.88677978515625,340.8418273925781,2,20,100,128,0.001,10.0,g10.0,1
3,284.3006896972656,338.977783203125,2,20,100,128,0.001,10.0,g10.0,1
4,264.89129638671875,336.78497314453125,2,20,100,128,0.001,10.0,g10.0,1
5,285.67425537109375,334.2831115722656,2,20,100,128,0.001,10.0,g10.0,1
6,299.15777587890625,331.4996032714844,2,20,100,128,0.001,10.0,g10.0,1
7,280.7652587890625,328.4913024902344,2,20,100,128,0.001,10.0,g10.0,1
8,286.934326171875,325.27130126953125,2,20,100,128,0.001,10.0,g10.0,1
9,272.6328125,321.8778076171875,2,20,100,128,0.001,10.0,g10.0,1
10,288.25335693359375,318.3180236816406,2,20,100,128,0.001,10.0,g10.0,1
11,249.9174041748047,314.6488342285156,2,20,100,128,0.001,10.0,g10.0,1
12,282.1817626953125,310.86572265625,2,20,100,128,0.001,10.0,g10.0,1
13,251.5758056640625,307.00372314453125,2,20,100,128,0.001,10.0,g10.0,1
14,238.08233642578125,303.0885925292969,2,20,100,128,0.001,10.0,g10.0,1
15,247.21371459960938,299.1329345703125,2,20,100,128,0.001,10.0,g10.0,1
16,257.5546569824219,295.1291198730469,2,20,100,128,0.001,10.0,g10.0,1
17,252.84259033203125,291.0895690917969,2,20,100,128,0.001,10.0,g10.0,1
18,286.57550048828125,286.9928283691406,2,20,100,128,0.001,10.0,g10.0,1
19,202.353271484375,282.9202880859375,2,20,100,128,0.001,10.0,g10.0,1
20,234.52090454101562,278.8470153808594,2,20,100,128,0.001,10.0,g10.0,1
21,228.87741088867188,274.78375244140625,2,20,100,128,0.001,10.0,g10.0,1
22,217.62106323242188,270.74560546875,2,20,100,128,0.001,10.0,g10.0,1
23,222.81802368164062,266.7259826660156,2,20,100,128,0.001,10.0,g10.0,1
24,223.43690490722656,262.7232971191406,2,20,100,128,0.001,10.0,g10.0,1
25,221.3753662109375,258.74456787109375,2,20,100,128,0.001,10.0,g10.0,1
26,205.74342346191406,254.8048553466797,2,20,100,128,0.001,10.0,g10.0,1
